rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	1	1	1	0.7644335657605407	-3.159610538520679	N/A	38.88277060244156	C10H16N2O3	[M + H]+	RWCOTTLHDJWHRS	InChI=1S/C10H16N2O3/c13-9(7-3-1-5-11-7)12-6-2-4-8(12)10(14)15/h7-8,11H,1-6H2,(H,14,15)	Prolylproline	C1CC(NC1)C(=O)N2CCCC2C(=O)O	-2.29999995	263469;7408325;11622593;11902928;57309116;61158797;61172252;78923151;92245213;103868724;132526338	COCONUT:(CNP0189934);HMDB:(11180);PubChem:(263469 7408325 11622593 11902928 57309116 61158797 61172252 78923151 92245213 103868724 132526338);CHEBI:(73646);ZINC bio:(ZINC04899613 ZINC04974454 ZINC04974455 ZINC04974456);additional;PubChem class - bio and metabolites;MeSH:(263469 11622593);Training Set;PubMed;KEGG Mine	8609357934	213.12383524576822	57.967	21_Ga_QC_Iter_21
12	1	1	2	0.7308317161706428	-23.739938632241028	N/A	22.53068880058174	C26H44N6O7	[M + H]+	WCNUEEKRMXIHIE	InChI=1S/C26H44N6O7/c1-14(2)13-16(27)24(36)31-11-5-8-19(31)23(35)30-21(15(3)4)25(37)32-12-6-7-18(32)22(34)29-17(26(38)39)9-10-20(28)33/h14-19,21H,5-13,27H2,1-4H3,(H2,28,33)(H,29,34)(H,30,35)(H,38,39)	(2S)-5-amino-2-[[(2S)-1-[(2S)-2-[[(2S)-1-[(2S)-2-amino-4-methylpentanoyl]pyrrolidine-2-carbonyl]amino]-3-methylbutanoyl]pyrrolidine-2-carbonyl]amino]-5-oxopentanoic acid	CC(C)CC(C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC(CCC(=O)N)C(=O)O)N	-0.171212733	11613707	PubChem:(11613707)	2	553.3350830078125	174.266	90_Ga_QC_Iter_90
13	1	1	1	0.7166982790532997	-3.3813309776418694	N/A	92.71757891592134	C5H9NO4	[M + H]+	WHUUTDBJXJRKMK	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	Glutamat	C(CC(=O)O)C(C(=O)O)N	-1.32391071	611;23327;33032;104813;168158;450555;450602;4525487;4179667;4452358;5128032;5147171;5460297;5460299;5460543;5460544;10582905;12248489;12248490;12248491;12248492;12248499;12248500;12248502;12248503;10942598;10057642;11629711;11701061;14598502;11840951;10351852;10396980;16213329;16213424;16213454;16217561;21575125;42615584;44272391;51037439;51037437;51037438;51037440;46932125;50992608;54431527;54431528;57397101;56638524;56845125;56845930;56845948;57607970;57607968;57607971;57607976;57616920;71308417;71308849;71309035;71309130;71309247;71309316;71309505;71309806;71310326;87150909;87206355;88747398;88901897;89254549;90324386;91031500;91083019;91158404;90472821;91466291;101073736;101129201;101129202;102351656;102602046;117064483;117064484;119077677;119077680;119080345;121494059;124202791;129656111;129680450;133188389;132594196;132594197;131667875;131708707;131873974;134775857;139592947;139054390;138397024	HMDB:(148 3339 60475);PubChem class - food;SuperNatural:(SN00002027 SN00335254);ZINC bio:(ZINC00895124 ZINC01482113);additional;HSDB:(56-86-0);MeSH:(611 23327 33032 104813 4525487 5128032 5147171 5460299 5460544 11840951 14598502);Plantcyc:(D-GLT GLT);PubMed;NORMAN:(NS00008008);COCONUT:(CNP0086235 CNP0191057 CNP0200734);KNApSAcK:(19577);Natural Products:(UNPD80939 UNPD56979 UNPD112821);PubChem:(611 23327 33032 104813 168158 450555 450602 4525487 4179667 4452358 5128032 5147171 5460297 5460299 5460543 5460544 10582905 12248489 12248490 12248491 12248492 12248499 12248500 12248502 12248503 10942598 10057642 11629711 11701061 14598502 11840951 10351852 10396980 16213329 16213424 16213454 16217561 21575125 42615584 44272391 51037439 51037437 51037438 51037440 46932125 50992608 54431527 54431528 57397101 56638524 56845125 56845930 56845948 57607970 57607968 57607971 57607976 57616920 71308417 71308849 71309035 71309130 71309247 71309316 71309505 71309806 71310326 87150909 87206355 88747398 88901897 89254549 90324386 91031500 91083019 91158404 90472821 91466291 101073736 101129201 101129202 102351656 102602046 117064483 117064484 119077677 119077680 119080345 121494059 124202791 129656111 129680450 133188389 132594196 132594197 131667875 131708707 131873974 134775857 139592947 139054390 138397024);CHEBI:(14321 76051 29987 29986 16015 53375 53374 29988 29985 15966 53373 29989 18237);PubChem class - bio and metabolites;KEGG:(C00025 C00217 C00302);PubChem class - safety and toxic;YMDB:(271);Training Set;PubChem class - drug;Biocyc:(CPD1UA-4 GLT SMA-0000342 D-GLT)	255847294	148.06047566731772	21.835	4_Ga_QC_Iter_4
14	1	1	1	0.7126238284680326	-4.328446542016936	N/A	102.98642029033381	C9H19NO4	[M + H]+	SNPLKNRPJHDVJA	InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)	Bepantol	CC(C)(CO)C(C(=O)NCCCO)O	-0.899999976	4678;131204;5748487;54315096	HMDB:(4231);PubChem class - food;SuperNatural:(SN00216330 SN00002077 SN00002298);ZINC bio:(ZINC01530303 ZINC01567243);additional;HSDB:(81-13-0);MeSH:(4678 131204);PubMed;NORMAN:(NS00000985);COCONUT:(CNP0144183);PubChem:(4678 131204 5748487 54315096);CHEBI:(27373);PubChem class - bio and metabolites;KEGG:(C05944);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(PANTOTHENOL)	255617902	206.13872273763022	111.264	55_Ga_QC_Iter_55
15	1	1	1	0.711301960315589	-66.37441077855537	N/A	56.16084313623796	C11H14N4O2	[M + H]+	NAKUGCPAQTUSBE	InChI=1S/C11H14N4O2/c16-10-9-2-1-3-15(9)11(17)8(14-10)4-7-5-12-6-13-7/h5-6,8-9H,1-4H2,(H,12,13)(H,14,16)	Cyclo(-His-Pro)	C1CC2C(=O)NC(C(=O)N2C1)CC3=CN=CN3	-0.400000006	360579;449094;3085031;7408266;7408684;9816083;67859438;102491877;137705815	COCONUT:(CNP0289471);Natural Products:(UNPD75423 UNPD190141);PubChem:(360579 449094 3085031 7408266 7408684 9816083 67859438 102491877 137705815);ZINC bio:(ZINC04899569 ZINC04899848 ZINC04899849 ZINC08586036);PubChem class - bio and metabolites;MeSH:(449094);PubMed	18915398	235.11871846516928	64.123	24_Ga_QC_Iter_24
16	1	1	1	0.7066699399146501	-1.4377622594690458	N/A	6074.035704766585	C24H50NO7P	[M + H]+	ASWBNKHCZGQVJV	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/p+1	1-16:0-lysoPC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O	5.5999999	86554;86555;460602;460603;5313979;10097314;71751445;71751446;124202819;124202820;136212657;136212658	HMDB:(10382 62541);SuperNatural:(SN00036442 SN00036458);ZINC bio:(ZINC08214423 ZINC08219063);additional;MeSH:(86554 460602);Plantcyc:(CPD-8343);PubMed;Lipid:(LPC(16:0));COCONUT:(CNP0123091 CNP0346626);Natural Products:(UNPD14479 UNPD24099);PubChem:(86554 86555 460602 460603 5313979 10097314 71751445 71751446 124202819 124202820 136212657 136212658);CHEBI:(72998 28468);PubChem class - bio and metabolites;KEGG:(C04102);PubChem class - safety and toxic;YMDB:(1179);Training Set;Biocyc:(CPD-8343)	4382779758	496.3396301269531	380.0	193_Ga_QC_Iter_193
17	1	1	3	0.7011944596895225	-1.041804599856699	N/A	43.85151716696438	C12H26O7	[M + H]+	IIRDTKBZINWQAW	InChI=1S/C12H26O7/c13-1-3-15-5-7-17-9-11-19-12-10-18-8-6-16-4-2-14/h13-14H,1-12H2	Hexagol	C(COCCOCCOCCOCCOCCO)O	-1.89999998	17472	HMDB:(61822);PubChem class - food;Maconda:(CON00073);additional;MeSH:(17472);PubMed;NORMAN:(NS00001003);COCONUT:(CNP0147909);PubChem:(17472);CHEBI:(49793);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;KEGG Mine	8810939502	283.17515055338544	150.033	74_Ga_QC_Iter_74
18	1	1	4	0.69526061928421	-7.1030142828091964	N/A	34.525646739102584	C14H20N6O5S	[M + H]+	ZJUKTBDSGOFHSH	InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)	Ara-ahcy	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N	-2.01566958	193;13792;189149;439155;5248805;5284331;6419189;10046135;13231890;11784393;11440632;16760024;21125603;25203782;25210495;25246222;44361183;44361184;46936206;52224398;52224400;51380914;50989525;56593148;57544532;59046843;59170628;59576228;59996243;66805708;70678861;70689219;70702054;71170554;70832431;71313043;118560068;118374891;126969526;129105892;133688913;137699714;139314995	HMDB:(939);SuperNatural:(SN00215874 SN00008118);ZINC bio:(ZINC03869381 ZINC03869382 ZINC03869383 ZINC03869384 ZINC04228232 ZINC13509082 ZINC13509104);additional;MeSH:(189149 439155);Plantcyc:(ADENOSYL-HOMO-CYS);PubMed;NORMAN:(NS00014918);COCONUT:(CNP0339419);KNApSAcK:(7230);PubChem:(193 13792 189149 439155 5248805 5284331 6419189 10046135 13231890 11784393 11440632 16760024 21125603 25203782 25210495 25246222 44361183 44361184 46936206 52224398 52224400 51380914 50989525 56593148 57544532 59046843 59170628 59576228 59996243 66805708 70678861 70689219 70702054 71170554 70832431 71313043 118560068 118374891 126969526 129105892 133688913 137699714 139314995);CHEBI:(57856 67009 16680);PubChem class - bio and metabolites;KEGG:(C00021);PubChem class - safety and toxic;YMDB:(198);Training Set;Biocyc:(ADENOSYL-HOMO-CYS)	88041854	385.1281331380208	78.517	29_Ga_QC_Iter_29
19	1	1	1	0.6885190494622645	-16.33051336519336	N/A	70.61723086707073	C5H7NO3	[M + H]+	ODHCTXKNWHHXJC	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	Pidolate	C1CC(=O)NC1C(=O)O	-0.800000012	499;7405;439685;7043982;5289118;10534703;21226158;57536822;71309033;76973407;76973951;101602863;102268616;101958799;102601775;122222193;131698836;134081798	HMDB:(267 805 60262);SuperNatural:(SN00254500 SN00064283 SN00064282 SN00247327);ZINC bio:(ZINC03598262 ZINC03598263);additional;MeSH:(499 7405 439685);Plantcyc:(5-OXOPROLINE);PubMed;NORMAN:(NS00006581);COCONUT:(CNP0086290 CNP0206174);KNApSAcK:(7403);Natural Products:(UNPD42473 UNPD161299 UNPD125310);PubChem:(499 7405 439685 7043982 5289118 10534703 21226158 57536822 71309033 76973407 76973951 101602863 102268616 101958799 102601775 122222193 131698836 134081798);CHEBI:(58402 57948 57606 16010 16924 18183);PubChem class - bio and metabolites;KEGG:(C01879 C02237);PubChem class - safety and toxic;YMDB:(107);Training Set;PubChem class - drug;Biocyc:(5-OXOPROLINE CPD-656 CPD0-2503 SMA-0000541)	121629054	130.05152893066406	48.304	16_Ga_QC_Iter_16
20	1	2	6	0.6857804163222356	-4.971202207498616	N/A	66.65126821323699	C14H18N2O5	[M + H]+	XMBSYZWANAQXEV	InChI=1S/C14H18N2O5/c15-10(6-7-12(17)18)13(19)16-11(14(20)21)8-9-4-2-1-3-5-9/h1-5,10-11H,6-8,15H2,(H,16,19)(H,17,18)(H,20,21)	(4S)-4-amino-5-[[(1S)-1-carboxy-2-phenylethyl]amino]-5-oxopentanoic acid	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CCC(=O)O)N	0.0300934985	18653118;19365626;64889716;104901999	COCONUT:(CNP0224845);HMDB:(29156);Natural Products:(UNPD137199);PubChem:(18653118 19365626 64889716 104901999);ZINC bio:(ZINC13508203);additional;Training Set;PubMed	2678858	295.12901814778644	153.659	75_Ga_QC_Iter_75
21	3	1	11	0.6691799689321682	-92.94069609925451	N/A	50.14776190458853	C32H46N6O9	[M + H]+	IGWBXKOQZXRBMR	InChI=1S/C32H46N6O9/c1-18(2)26(33)29(43)34-19(3)30(44)37-15-7-11-23(37)28(42)36-22(17-20-9-5-4-6-10-20)31(45)38-16-8-12-24(38)27(41)35-21(32(46)47)13-14-25(39)40/h4-6,9-10,18-19,21-24,26H,7-8,11-17,33H2,1-3H3,(H,34,43)(H,35,41)(H,36,42)(H,39,40)(H,46,47)	L-Glutamic acid, L-valyl-L-alanyl-L-prolyl-L-phenylalanyl-L-prolyl-	CC(C)C(C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)N3CCCC3C(=O)NC(CCC(=O)O)C(=O)O)N	-1.60000002	16036488	PubChem:(16036488)	2	659.337646484375	193.586	102_Ga_QC_Iter_102
22	1	1	3	0.6668317181186821	-53.63828544147237	N/A	32.40729472644812	C29H41N5O9	[M + H]+	WRNQQFNBEUKAAX	InChI=1S/C29H41N5O9/c1-16(2)24(26(39)31-20(11-12-23(36)37)28(41)34-14-4-6-22(34)29(42)43)32-25(38)21-5-3-13-33(21)27(40)19(30)15-17-7-9-18(35)10-8-17/h7-10,16,19-22,24,35H,3-6,11-15,30H2,1-2H3,(H,31,39)(H,32,38)(H,36,37)(H,42,43)	(2S)-1-[(2S)-2-[[(2S)-2-[[(2S)-1-[(2S)-2-amino-3-(4-hydroxyphenyl)propanoyl]pyrrolidine-2-carbonyl]amino]-3-methylbutanoyl]amino]-4-carboxybutanoyl]pyrrolidine-2-carboxylic acid	CC(C)C(C(=O)NC(CCC(=O)O)C(=O)N1CCCC1C(=O)O)NC(=O)C2CCCN2C(=O)C(CC3=CC=C(C=C3)O)N	-1.70000005	11387861;131769848	HMDB:(60144);PubChem:(11387861 131769848);PubChem class - bio and metabolites	16777226	604.2982788085938	174.107	89_Ga_QC_Iter_89
23	1	1	6	0.6542195197546886	-3.1956819906355265	N/A	59.982423822426995	C14H18N4O3	[M + H]+	IEDVJHCEMCRBQM	InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)	Antrimox	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	1.69038856	5578;446998;3382784;23278267;45040631;46783190;46783191;50924539;76974460;138396059	HMDB:(14583);SuperNatural:(SN00014167);ZINC bio:(ZINC06627681);additional;HSDB:(738-70-5);MeSH:(5578);Plantcyc:(CPD0-1581);PubMed;NORMAN:(NS00000211);COCONUT:(CNP0117617 CNP0347728);PubChem:(5578 446998 3382784 23278267 45040631 46783190 46783191 50924539 76974460 138396059);CHEBI:(45924);PubChem class - bio and metabolites;KEGG:(C01965);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD0-1581)	121531246	291.145263671875	159.707	78_Ga_QC_Iter_78
24	1	1	2	0.6153858217601376	-13.11344727534574	N/A	48.51735076169432	C12H12N2O3	[M + H]+	MHWLWQUZZRMNGJ	InChI=1S/C12H12N2O3/c1-3-14-6-9(12(16)17)10(15)8-5-4-7(2)13-11(8)14/h4-6H,3H2,1-2H3,(H,16,17)	Betaxina	CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O	1.64508712	4421;3996620;10036953;46782419;101418063;139097676	HMDB:(14917);SuperNatural:(SN00000498);ZINC bio:(ZINC00057421);additional;HSDB:(389-08-2);MeSH:(4421);PubMed;NORMAN:(NS00009829);COCONUT:(CNP0060057 CNP0160996);PubChem:(4421 3996620 10036953 46782419 101418063 139097676);CHEBI:(100147 62070);PubChem class - bio and metabolites;KEGG:(C05079);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-21025)	121400174	233.09219868977866	251.808	134_Ga_QC_Iter_134
25	5	1	10	0.6150428252777244	-260.6412648005634	N/A	77.18297962931358	C27H43N7O16S	[M + Na]+	JLODQYWCXKAGCS	InChI=1S/C27H43N7O16S/c1-11(29-24(46)15(8-35)33-25(47)16(9-36)32-22(44)12(28)2-5-18(37)38)21(43)34-17(10-51)26(48)30-13(3-6-19(39)40)23(45)31-14(27(49)50)4-7-20(41)42/h11-17,35-36,51H,2-10,28H2,1H3,(H,29,46)(H,30,48)(H,31,45)(H,32,44)(H,33,47)(H,34,43)(H,37,38)(H,39,40)(H,41,42)(H,49,50)	null	CC(C(=O)NC(CS)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CCC(=O)O)N	-8.19999981	52917693	PubChem:(52917693)	2	776.2324015299479	462.269	227_Ga_QC_Iter_227
